  
       XFOIL         Version 6.99
  
 Calculated polar for: Wing                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.710     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0985   0.20386   0.20220  -0.0254   0.3441   0.2082
  -4.500   0.0674   0.21065   0.20905  -0.0180   0.3278   0.2092
  -4.000   0.0565   0.21141   0.20984  -0.0170   0.3220   0.2099
  -3.500   0.0339   0.20682   0.20525  -0.0138   0.3194   0.2131
  -3.000   0.0351   0.20620   0.20466  -0.0162   0.3166   0.2148
  -2.500   0.0410   0.20417   0.20264  -0.0200   0.3136   0.2165
  -2.000   0.0283   0.19512   0.19356  -0.0197   0.3112   0.2153
  -1.500   0.0590   0.19650   0.19499  -0.0295   0.3078   0.2209
  -1.000   0.0717   0.19010   0.18857  -0.0355   0.3051   0.2246
  -0.500   0.0803   0.18375   0.18221  -0.0404   0.3028   0.2298
   0.000   0.0714   0.17869   0.17714  -0.0406   0.2971   0.2340
   0.500   0.0715   0.17188   0.17031  -0.0433   0.2953   0.2368
   1.000   0.0597   0.16833   0.16677  -0.0423   0.2880   0.2382
   1.500   0.0321   0.16820   0.16668  -0.0367   0.2734   0.2394
   2.000   0.0295   0.16396   0.16243  -0.0382   0.2674   0.2403
   2.500   0.0210   0.15573   0.15419  -0.0391   0.2630   0.2439
   3.000   0.0298   0.15063   0.14908  -0.0437   0.2593   0.2468
   3.500   0.0417   0.14537   0.14381  -0.0489   0.2562   0.2494
   4.000   0.0459   0.14218   0.14062  -0.0518   0.2501   0.2535
   4.500   0.0457   0.13607   0.13449  -0.0542   0.2486   0.2596
   5.000   0.0388   0.13082   0.12923  -0.0548   0.2440   0.2656
